Date;Residence;Ouvertures;Clotures
"30-11-2017";"Résident";"2227";"2105"
"31-03-2014";"Non-résident sans statut particulier";"101";"68"
"31-05-2022";"Non-résident sans statut particulier";"380";"499"
"31-12-2019";"Résident";"2251";"2144"
"31-03-2018";"Non-résident sans statut particulier";"221";"264"
"31-10-2015";"Résident";"2544";"2042"
"30-06-2016";"Résident";"1731";"2127"
"30-04-2021";"Non-résident CTR";"31";"18"
"30-06-2020";"Résident";"1897";"1718"
"28-02-2021";"Résident";"2110";"2385"
"30-09-2021";"Non-résident sans statut particulier";"605";"428"
"28-02-2017";"Résident";"1975";"2181"
"30-09-2022";"Non-résident CTR";"56";"34"
"30-06-2020";"Non-résident sans statut particulier";"338";"355"
"31-12-2014";"Non-résident sans statut particulier";"91";"82"
"31-10-2019";"Non-résident sans statut particulier";"532";"438"
"30-04-2017";"Non-résident CTR";"33";"14"
"31-07-2018";"Résident";"2263";"2242"
"31-07-2014";"Non-résident CTR";"21";"1"
"30-11-2022";"Non-résident CTR";"78";"34"
"28-02-2022";"Non-résident CTR";"46";"21"
"30-04-2020";"Non-résident sans statut particulier";"166";"232"
"30-04-2016";"Non-résident sans statut particulier";"251";"215"
"30-09-2014";"Non-résident CTR";"15";"3"
"30-11-2021";"Résident";"2257";"2572"
"28-02-2016";"Non-résident sans statut particulier";"261";"177"
"31-08-2019";"Non-résident sans statut particulier";"413";"334"
"31-07-2022";"Résident";"2251";"2352"
"30-11-2021";"Non-résident sans statut particulier";"525";"470"
"31-05-2019";"Non-résident CTR";"18";"35"
"30-09-2018";"Non-résident CTR";"15";"25"
"31-05-2015";"Non-résident CTR";"40";"3"
"30-06-2020";"Non-résident CTR";"14";"18"
"31-03-2015";"Non-résident sans statut particulier";"123";"129"
"30-04-2016";"Non-résident CTR";"7";"13"
"31-12-2018";"Non-résident sans statut particulier";"371";"303"
"31-05-2019";"Résident";"2071";"2478"
"31-03-2023";"Non-résident CTR";"81";"22"
"30-11-2021";"Non-résident CTR";"30";"25"
"31-03-2022";"Non-résident sans statut particulier";"422";"538"
"30-04-2022";"Non-résident CTR";"82";"16"
"31-05-2014";"Non-résident sans statut particulier";"102";"82"
"30-09-2021";"Résident";"2803";"2878"
"31-07-2018";"Non-résident CTR";"17";"32"
"31-10-2014";"Résident";"2614";"2091"
"30-06-2017";"Résident";"1720";"2115"
"31-12-2019";"Non-résident sans statut particulier";"320";"358"
"31-10-2022";"Non-résident sans statut particulier";"413";"464"
"31-03-2023";"Non-résident sans statut particulier";"522";"539"
"30-11-2020";"Non-résident sans statut particulier";"406";"436"
"31-12-2019";"Non-résident CTR";"12";"25"
"31-07-2019";"Non-résident CTR";"38";"26"
"31-07-2018";"Non-résident sans statut particulier";"194";"195"
"31-03-2014";"Résident";"1962";"2546"
"30-04-2021";"Résident";"2041";"2442"
"31-07-2017";"Résident";"2217";"2089"
"30-11-2018";"Résident";"2568";"2215"
"28-02-2016";"Résident";"2127";"2263"
"31-12-2018";"Résident";"2323";"2137"
"31-05-2021";"Non-résident sans statut particulier";"360";"463"
"31-10-2015";"Non-résident sans statut particulier";"210";"189"
"31-10-2015";"Non-résident CTR";"20";"7"
"30-04-2021";"Non-résident sans statut particulier";"444";"379"
"28-02-2017";"Non-résident CTR";"30";"13"
"30-11-2014";"Non-résident CTR";"14";"1"
"30-09-2017";"Non-résident CTR";"62";"15"
"31-08-2015";"Résident";"1863";"1988"
"30-09-2022";"Résident";"2955";"2585"
"31-10-2014";"Non-résident sans statut particulier";"128";"90"
"28-02-2018";"Non-résident CTR";"23";"15"
"28-02-2017";"Non-résident sans statut particulier";"308";"252"
"30-09-2016";"Non-résident sans statut particulier";"249";"221"
"30-09-2014";"Résident";"3011";"2490"
"31-03-2015";"Résident";"2116";"2663"
"30-04-2020";"Résident";"1791";"950"
"30-09-2022";"Non-résident sans statut particulier";"500";"416"
"28-02-2022";"Résident";"1846";"2244"
"31-03-2022";"Résident";"2397";"2681"
"31-05-2014";"Non-résident CTR";"33";""
